户型,总价格,名字,小区,建造年代,楼层,面积,首付
        3室2厅2卫，,        365万,番禺大石,新月明珠花园,2007年,普通住宅高层(共23层)					,110平方米,109.50万                    
        3室1厅1卫，,        160万,番禺大石,富丽家园,1999年,普通住宅低层(共8层)					,66平方米,48.00万                    
        1室1厅1卫，,        85万,番禺大石,天骄时代,2016年,普通住宅中层(共20层)					,48平方米,25.50万                    
        3室2厅1卫，,        121万,番禺大石,东发楼,1998年,普通住宅中层(共8层)					,70平方米,36.30万                    
        3室2厅1卫，,        150万,番禺大石,怡居新村,1997年,普通住宅中层(共7层)					,84平方米,45.00万                    
        2室1厅1卫，,        90万,番禺大石,富丽家园康信楼,1998年,普通住宅高层(共9层)					,54平方米,27.00万                    
        2室2厅1卫，,        165万,番禺大石,富丽家园福宁园,1998年,普通住宅高层(共8层)					,79平方米,49.50万                    

        4室2厅2卫，,        420万,番禺大石,新月明珠花园,2008年,普通住宅高层(共23层)					,130平方米,126.00万                    
        2室2厅1卫，,        125万,番禺大石,东发楼,2000年,普通住宅中层(共8层)					,66平方米,37.50万                    
        4室2厅2卫，,        400万,番禺大石,新月明珠花园,2007年,普通住宅中层(共23层)					,130平方米,120.00万                    
        3室2厅2卫，,        250万,番禺大石,今日丽舍,2004年,普通住宅高层(共23层)					,100平方米,75.00万                    
        2室1厅1卫，,        137万,番禺大石,乳芳园,1996年,普通住宅高层(共8层)					,75平方米,41.10万                    
        3室2厅2卫，,        198万,番禺大石,锦华楼,1998年,普通住宅中层(共8层)					,111平方米,59.40万                    
        2室2厅1卫，,        178万,番禺大石,富庭华园,2002年,普通住宅中层(共7层)					,68平方米,53.40万                    
        4室2厅2卫，,        318万,番禺大石,富庭华园,2005年,普通住宅高层(共7层)					,119平方米,95.40万                    
        3室2厅1卫，,        248万,番禺大石,今日丽舍,2002年,普通住宅中层(共23层)					,108平方米,74.40万                    
        7室5厅7卫，,        620万,番禺大石,荔芳园,1997年,别墅共4层					,280平方米,186.00万                    
        3室2厅1卫，,        155万,番禺大石,富丽家园,1998年,普通住宅高层(共7层)					,78平方米,46.50万                    
        1室2厅1卫，,        50万,番禺大石,天骄时代,2018年,公寓中层(共24层)					,33平方米,15.00万                    
        3室1厅1卫，,        260万,番禺大石,富庭东园,2003年,普通住宅中层(共7层)					,88平方米,78.00万                    
        2室2厅1卫，,        210万,番禺大石,富庭东园,2004年,普通住宅中层(共7层)					,80平方米,63.00万                    
        2室1厅1卫，,        130万,番禺大石,莲芳园,2000年,普通住宅高层(共7层)					,60平方米,39.00万                    
        2室2厅2卫，,        140万,番禺大石,天骄时代,2016年,普通住宅中层(共28层)					,69平方米,42.00万                    
        2室1厅1卫，,        140万,番禺大石,富丽家园,1996年,普通住宅高层(共8层)					,83平方米,42.00万                    
        4室2厅3卫，,        420万,番禺大石,新月明珠花园,2007年,普通住宅中层(共23层)					,130平方米,126.00万                    
        2室1厅1卫，,        204万,番禺大石,富庭东园,2005年,普通住宅低层(共7层)					,68平方米,61.20万                    
        3室2厅1卫，,        285万,番禺大石,丽水湾,2002年,普通住宅高层(共7层)					,95平方米,85.50万                    
        2室2厅2卫，,        345万,番禺大石,锦绣银湾,2007年,普通住宅中层(共28层)					,107平方米,103.50万                    
        3室1厅2卫，,        245万,番禺大石,富泽居,2003年,普通住宅中层(共6层)					,89平方米,73.50万                    
        3室2厅2卫，,        210万,番禺大石,新城市宜家,2011年,普通住宅中层(共10层)					,96平方米,63.00万                    
        3室2厅2卫，,        440万,番禺大石,新月明珠花园,2008年,普通住宅高层(共23层)					,110平方米,132.00万                    
        3室1厅1卫，,        145万,番禺大石,怡居新村,1999年,普通住宅高层(共7层)					,89平方米,43.50万                    
        3室2厅2卫，,        350万,番禺大石,新月明珠花园,2007年,普通住宅中层(共23层)					,108平方米,105.00万                    
        3室2厅2卫，,        340万,番禺大石,锦绣银湾,2007年,普通住宅中层(共28层)					,122平方米,102.00万                    
